date,sst
2002-06-16,12.588348388671875
2002-07-16,13.483428955078125
2002-08-16,14.18853759765625
2002-09-16,13.78607177734375
2002-10-16,13.978271484375
2002-11-16,13.37982177734375
2002-12-16,13.773223876953125
2003-01-16,13.6778564453125
2003-02-16,13.5380859375
2003-03-16,12.990753173828125
2003-04-16,12.54962158203125
2003-05-16,12.35211181640625
2003-06-16,13.73760986328125
2003-07-16,13.59027099609375
2003-08-16,17.046905517578125
2003-09-16,17.06884765625
2003-10-16,13.8455810546875
2003-11-16,14.5743408203125
2003-12-16,13.208343505859375
2004-01-16,12.87646484375
2004-02-16,12.13671875
2004-03-16,12.861358642578125
2004-04-16,12.427581787109375
2004-05-16,12.6861572265625
2004-06-16,12.780517578125
2004-07-16,14.303863525390625
2004-08-16,15.183746337890625
2004-09-16,14.89422607421875
2004-10-16,14.825225830078125
2004-11-16,14.823638916015625
2004-12-16,13.171295166015625
2005-01-16,13.643798828125
2005-02-16,13.374725341796875
2005-03-16,14.19482421875
2005-04-16,13.3299560546875
2005-05-16,14.180206298828125
2005-06-16,13.393646240234375
2005-07-16,14.4464111328125
2005-08-16,15.0982666015625
2005-09-16,14.931396484375
2005-10-16,13.482208251953125
2005-11-16,13.733001708984375
2005-12-16,12.921112060546875
2006-01-16,12.9022216796875
2006-02-16,12.7469482421875
2006-03-16,11.9014892578125
2006-04-16,12.716796875
2006-05-16,13.376068115234375
2006-06-16,13.76849365234375
2006-07-16,15.127593994140625
2006-08-16,15.853912353515625
2006-09-16,15.093109130859375
2006-10-16,15.587158203125
2006-11-16,14.95556640625
2006-12-16,13.2701416015625
2007-01-16,12.180511474609375
2007-02-16,12.521575927734375
2007-03-16,12.17181396484375
2007-04-16,11.438812255859375
2007-05-16,12.267303466796875
2007-06-16,12.757659912109375
2007-07-16,15.060028076171875
2007-08-16,15.08673095703125
2007-09-16,15.455810546875
2007-10-16,14.576629638671875
2007-11-16,14.607208251953125
2007-12-16,12.09283447265625
2008-01-16,11.679656982421875
2008-02-16,11.5404052734375
2008-03-16,11.550262451171875
2008-04-16,10.8951416015625
2008-05-16,11.0914306640625
2008-06-16,13.026763916015625
2008-07-16,14.65399169921875
2008-08-16,14.485076904296875
2008-09-16,15.82562255859375
2008-10-16,14.671478271484375
2008-11-16,13.72735595703125
2009-01-16,12.651031494140625
2009-02-16,12.295745849609375
2009-03-16,11.83203125
2009-04-16,11.22125244140625
2009-05-16,11.99957275390625
2009-06-16,14.284698486328125
2009-07-16,14.21929931640625
2009-08-16,15.11163330078125
2009-09-16,14.8533935546875
2009-10-16,14.014739990234375
2009-11-16,13.119598388671875
2009-12-16,12.832672119140625
2010-01-16,13.338287353515625
2010-02-16,13.320556640625
2010-03-16,12.982879638671875
2010-04-16,12.30120849609375
2010-05-16,11.4283447265625
2010-06-16,12.32098388671875
2010-07-16,14.324951171875
2010-08-16,14.389190673828125
2010-09-16,14.165374755859375
2010-10-16,14.123870849609375
2010-11-16,13.36846923828125
2010-12-16,12.443023681640625
2011-01-16,12.534912109375
2011-02-16,12.2767333984375
2011-03-16,11.899932861328125
2011-04-16,12.318603515625
2011-05-16,12.14080810546875
2011-06-16,12.962310791015625
2011-07-16,13.99786376953125
2011-08-16,14.329376220703125
2011-09-16,15.1258544921875
2011-10-16,15.965911865234375
2011-11-16,13.39532470703125
2011-12-16,12.889007568359375
2012-01-16,12.46734619140625
2012-02-16,12.221954345703125
2012-03-16,11.45123291015625
2012-04-16,12.0130615234375
2012-05-16,11.791412353515625
2012-06-16,12.646697998046875
2012-07-16,14.08038330078125
2012-08-16,15.60107421875
2012-09-16,15.198516845703125
2012-10-16,15.78857421875
2012-11-16,15.36822509765625
2012-12-16,13.84075927734375
2013-01-16,12.5018310546875
2013-02-16,11.954559326171875
2013-03-16,11.76055908203125
2013-04-16,11.643768310546875
2013-05-16,12.27960205078125
2013-06-16,13.5262451171875
2013-07-16,14.592193603515625
2013-08-16,14.854522705078125
2013-09-16,14.7379150390625
2013-10-16,13.627105712890625
2013-11-16,13.906707763671875
2013-12-16,12.964996337890625
2014-01-16,13.6290283203125
2014-02-16,12.926544189453125
2014-03-16,13.200042724609375
2014-04-16,13.0821533203125
2014-05-16,12.79193115234375
2014-06-16,13.261260986328125
2014-07-16,16.092010498046875
2014-08-16,17.436798095703125
2014-09-16,17.73150634765625
2014-10-16,17.24969482421875
2014-11-16,16.16546630859375
2014-12-16,15.8236083984375
2015-01-16,14.9356689453125
2015-02-16,14.78643798828125
2015-03-16,14.189117431640625
2015-04-16,12.2835693359375
2015-05-16,12.52239990234375
2015-06-16,14.388458251953125
2015-07-16,16.7080078125
2015-08-16,18.5626220703125
2015-09-16,17.914093017578125
2015-10-16,17.913177490234375
2015-11-16,15.393646240234375
2015-12-16,14.911529541015625
2016-01-16,13.888427734375
2016-02-16,13.71875
2016-03-16,13.849456787109375
2016-04-16,13.44281005859375
2016-05-16,13.603790283203125
2016-06-16,14.015716552734375
2016-07-16,13.8297119140625
2016-08-16,15.593292236328125
2016-09-16,15.420989990234375
2016-10-16,15.746490478515625
2016-11-16,15.27996826171875
2016-12-16,13.05865478515625
2017-01-16,12.78900146484375
2017-02-16,13.125823974609375
2017-03-16,13.176361083984375
2017-04-16,12.6884765625
2017-05-16,12.815521240234375
2017-06-16,13.948150634765625
2017-07-16,13.989410400390625
2017-08-16,16.239013671875
2017-09-16,17.177734375
2017-10-16,14.53936767578125
2017-11-16,15.134857177734375
2017-12-16,14.386749267578125
2018-01-16,13.647064208984375
2018-02-16,12.82891845703125
